T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
654.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
249.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
222.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
737.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
468.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
235.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
699.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
634.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
690.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
325.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
640.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
434.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
338.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
236.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
552.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
443.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
530.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
516.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
244.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
719.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
634.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
652.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
906.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
1000.0,1.0,Market,pathfind_market,Uniform,200,True,1,4
