T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
163.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
274.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
227.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
552.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
228.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
398.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
132.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
274.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
359.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
336.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
318.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
322.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
477.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
306.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
115.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
221.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
428.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
309.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
294.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
358.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
244.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
168.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
256.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
355.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
682.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
189.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
411.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
233.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
230.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
320.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
329.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
426.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
449.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
289.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
413.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
395.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
386.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
161.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
329.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
188.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
284.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
225.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
537.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
197.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
292.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
117.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
341.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
530.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
211.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
147.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
309.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
195.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
319.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
364.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
205.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
467.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
344.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
225.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
333.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
347.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
223.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
198.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
383.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
327.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
581.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
399.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
303.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
152.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
370.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
330.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
189.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
210.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
225.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
245.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
174.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
437.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
300.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
200.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
559.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
276.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
674.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
344.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
176.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
363.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
381.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
997.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
214.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
546.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
291.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
281.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
173.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
283.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
436.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
232.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
340.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
190.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
365.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
416.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
282.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
220.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
200.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
248.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
336.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,3
